GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031310800,-417.0,24756.0,227.0,800.0,826.0,37446.0,62202.0,3.384290841825252
17031310900,-380.0,26520.0,255.0,-38500.0,706.0,32813.0,59333.0,2.6668267047376117
17031330102,7530.085560965168,114652.461707475,1882.1576886633568,336441.3305187918,4980.730349547016,10847.538292524989,125500.0,20.885930555072527
17031330103,4435.207928731054,68766.47873683547,1559.664269986938,294430.41784630297,3345.612550101357,13724.521263164526,82491.0,16.00460629398358
17031340300,-143.25810827496525,5887.786330568979,53.90935308017197,-3734.335954480339,69.93240722103728,30005.21366943102,35893.0,-1.0235160771101923
17031340400,-160.0,5760.0,194.0,9700.0,134.0,45167.0,50927.0,-0.04400695275184538
17031340500,-99.0,9097.0,441.0,110700.0,121.0,27153.0,36250.0,2.596361180802877
17031340600,-83.85735525196333,-1943.4743994167968,-104.01603810445232,,16.635226997870497,15150.474399416797,13207.0,
17031350400,1491.0,9166.0,101.0,,115.0,10152.0,19318.0,
17031351100,20.0,742.0,49.0,,99.0,11586.0,12328.0,
17031351400,356.0,1458.0,260.0,106300.0,234.0,12292.0,13750.0,0.9190656803970835
17031351500,640.0,-9926.0,107.0,,138.0,28676.0,18750.0,
17031360200,511.0,8720.0,190.0,-173600.0,65.0,18363.0,27083.0,-3.7166686796162507
17031380100,-335.0,-340.0,-102.0,-27800.0,189.0,20156.0,19816.0,-1.8593080385672993
17031380200,-26.0,7021.0,8.0,-126300.0,272.0,18292.0,25313.0,-2.592350912056716
17031381200,-109.0,19125.0,310.0,-177600.0,180.0,33063.0,52188.0,-1.4083815272082043
17031381400,-74.0,-10571.0,165.0,-186300.0,67.0,45966.0,35395.0,-4.422470063424248
17031381800,237.0,17460.0,317.0,94200.0,150.0,19389.0,36849.0,1.964755021520653
17031381900,-30.0,18974.0,-109.0,-58800.0,33.0,32955.0,51929.0,-1.9435479341972772
17031390300,263.0,5251.0,-3.0,389700.0,267.0,20851.0,26102.0,4.4574855039976375
17031390400,-875.0,-775.0,16.0,67200.0,169.0,21627.0,20852.0,0.7343922634295286
17031400300,-206.0,-677.0,253.0,42100.0,20.0,32950.0,32273.0,0.034667549793602814
17031400400,366.0,12871.0,33.0,-37000.0,156.0,20781.0,33652.0,-1.6491586072733122
17031400500,59.0,-524.0,80.0,-98000.0,125.0,22539.0,22015.0,-2.8637873744246014
17031400800,160.0,-899.0,227.0,,36.0,13795.0,12896.0,
17031410200,221.0,20202.0,304.0,-309700.0,74.0,24022.0,44224.0,-4.067164573375052
17031410500,176.0,20729.0,433.0,-44200.0,266.0,37065.0,57794.0,1.014776328874427
17031410700,214.0,11895.0,321.0,23000.0,21.0,27031.0,38926.0,0.26066257779149776
17031410800,282.0,7829.0,383.0,4800.0,416.0,36414.0,44243.0,0.9380796740557287
17031420200,117.0,7875.0,286.0,-136400.0,8.0,25313.0,33188.0,-2.4032820854722696
17031420300,38.0,-6970.0,189.0,-37100.0,81.0,40263.0,33293.0,-2.002013288424862
17031420400,-432.0,-10958.0,132.0,-61800.0,-154.0,28958.0,18000.0,-2.820643274946362
17031420500,-494.0,-86.0,93.0,-76100.0,88.0,24663.0,24577.0,-1.7684423584916849
17031420600,321.0,2344.0,156.0,-93200.0,33.0,23323.0,25667.0,-2.898720999455108
17031420700,-661.0,-4233.0,136.0,-54900.0,-85.0,29212.0,24979.0,-1.759343946839331
17031420800,413.0,18509.0,411.0,-52200.0,200.0,22047.0,40556.0,0.1484932966989036
