GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031440102,-43.0,14870.0,769.0,45.0,38100.0,318.0,26250.0,41120.0,0.4455337031231872
17031440201,351.0,12568.0,823.0,111.0,34000.0,305.0,22654.0,35222.0,-0.03499102992137962
17031440202,-639.0,3903.0,725.0,53.0,-38800.0,149.0,27461.0,31364.0,-0.9513563705921843
17031440300,-500.0,16874.0,824.0,-30.0,-30300.0,31.0,42254.0,59128.0,-0.8508642843426154
17031440700,-501.0,18046.0,810.0,134.0,-68300.0,147.0,47857.0,65903.0,-0.24879322430451345
17031440800,-61.0,372.0,738.0,208.0,-29400.0,-72.0,26613.0,26985.0,-1.6730507345806775
17031440900,-648.0,-5268.0,790.0,131.0,-7200.0,230.0,41806.0,36538.0,-0.5167975930681187
17031450300,-164.0,12724.0,861.0,125.0,-9200.0,10.0,37298.0,50022.0,-0.6047270628805513
17031460200,-380.0,-6273.0,674.0,87.0,-61600.0,99.0,30536.0,24263.0,-2.2833945770883584
17031460301,-131.0,252.0,806.0,110.0,-18300.0,-47.0,33934.0,34186.0,-1.8269347529946547
17031460302,-667.0,14764.0,877.0,47.0,9500.0,195.0,17121.0,31885.0,0.596280170211974
17031460400,-393.0,8844.0,896.0,134.0,-12700.0,-179.0,39698.0,48542.0,-1.02544258562164
17031461000,-37.0,-3400.0,374.0,116.0,52300.0,2.0,19625.0,16225.0,-1.027880914583844
17031470100,-1252.0,8220.0,592.0,111.0,-38800.0,136.0,31391.0,39611.0,0.43516497738058113
17031480500,-351.9245958743832,4208.511341868449,705.3658971065466,302.63410289345336,-9080.29966456155,-30.35542701696428,44835.48865813155,49044.0,-0.16222926969634366
17031490800,181.59818948292693,6173.851436049459,938.9699619395872,19.03003806041272,-18597.737414711213,202.51938822813247,35446.14856395054,41620.0,-1.680671666087952
17031490901,-671.0,4739.0,772.0,232.0,-37500.0,-53.0,26667.0,31406.0,-0.48630354992499225
17031490902,-1007.0,8141.0,843.0,98.0,6700.0,220.0,45088.0,53229.0,0.8953150384737386
17031491400,30.0,-5584.0,850.0,235.0,-46400.0,15.0,39583.0,33999.0,-2.0953867483561464
17031500100,-571.4799274104107,19646.522065259764,776.6936196103474,146.30638038965265,-3846.846748358861,499.12499688998696,41884.47793474024,61531.0,1.831220395504295
17031500300,-121.0,1538.0,749.0,123.0,11300.0,142.0,43000.0,44538.0,-0.7906571898714798
17031510100,-278.0,-3354.0,814.0,95.0,-62200.0,72.0,38771.0,35417.0,-2.2698361053387393
17031510300,-1099.5200725895893,-13353.522065259756,939.3063803896526,216.69361961034733,-8553.153251641139,-246.12499688998696,40026.52206525976,26673.0,-1.2309320090514304
17031520200,-983.0,14291.0,777.0,-13.0,-39100.0,89.0,26976.0,41267.0,-0.24943670219779757
17031520300,-1587.0,2639.0,764.0,126.0,-17500.0,-35.0,40089.0,42728.0,0.481854051473551
17031530100,-888.0,5323.0,763.0,100.0,-19800.0,-49.0,28559.0,33882.0,-0.5073910365249883
17031570300,51.0,626.0,920.0,75.0,-47600.0,-11.0,44412.0,45038.0,-2.5564846410587756
17031570400,158.0,21072.0,679.0,200.0,-105800.0,-27.0,40203.0,61275.0,-1.6320441073014642
17031570500,-189.0,6831.0,917.0,22.0,-44100.0,16.0,36549.0,43380.0,-1.9427666496540972
17031580100,-263.0,8269.0,806.0,181.0,52700.0,8.0,35064.0,43333.0,0.3945934360206031
17031580200,-418.0,4944.0,782.0,97.0,-27200.0,41.0,36893.0,41837.0,-1.0840485116946017
17031580300,28.0,29059.0,865.0,60.0,-15900.0,-7.0,34087.0,63146.0,-0.235054097492152
17031580400,814.0,18059.0,733.0,63.0,-800.0,87.0,33375.0,51434.0,-1.5952434465281118
17031580501,-1194.0,714.0,796.0,45.0,-40000.0,172.0,40997.0,41711.0,-0.3867560358551632
17031580600,-1205.0,1079.0,808.0,-22.0,-50600.0,278.0,40904.0,41983.0,-0.5537267132048211
17031580700,370.0,11701.0,776.0,145.0,-34500.0,193.0,40125.0,51826.0,-1.2295870074261546
17031580800,400.0,18568.0,748.0,160.0,-12300.0,93.0,37432.0,56000.0,-0.6727453679057795
17031590600,-187.0,20693.0,823.0,104.0,-52100.0,487.0,41932.0,62625.0,0.43395474526980593
17031590700,398.0,25991.0,773.0,114.0,29100.0,198.0,39500.0,65491.0,0.4674565436454488
